address,price,movein_t,movein_d,bedrooms
2315 Dwight Way,492.0,1403593200.0,2014-06-24,0
2315 Dwight Way,595.0,1432105200.0,2015-05-20,0
2315 Dwight Way,595.0,1435734000.0,2015-07-01,0
2315 Dwight Way,629.0,1398927600.0,2014-05-01,0
2315 Dwight Way,629.0,1389772800.0,2014-01-15,0
2315 Dwight Way,620.0,1430809200.0,2015-05-05,0
2315 Dwight Way,629.0,1404198000.0,2014-07-01,0
2315 Dwight Way,620.0,1433228400.0,2015-06-02,0
2315 Dwight Way,620.0,1433401200.0,2015-06-04,0
2315 Dwight Way,629.0,1404198000.0,2014-07-01,0
2315 Dwight Way,629.0,1405926000.0,2014-07-21,0
2315 Dwight Way,629.0,1404198000.0,2014-07-01,0
2315 Dwight Way,629.0,1404198000.0,2014-07-01,0
2315 Dwight Way,395.0,1435734000.0,2015-07-01,0
2315 Dwight Way,395.0,1430550000.0,2015-05-02,0
2315 Dwight Way,485.0,1432191600.0,2015-05-21,0
2315 Dwight Way,485.0,1435734000.0,2015-07-01,0
2315 Dwight Way,485.0,1420272000.0,2015-01-03,0
2315 Dwight Way,485.0,1435734000.0,2015-07-01,0
2315 Dwight Way,485.0,1435734000.0,2015-07-01,0
2315 Dwight Way,485.0,1429513200.0,2015-04-20,0
