address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs
1437 Ward St,0,0,37.857998,-122.280637,0,2100,1.512,4.125,6,1
1438 Bonita Ave,0,0,37.880231,-122.273157,0,2013,0.935,4.05,5,1
1439 8th St,0,0,37.876525,-122.29779,0,1980,2.117,4.15,6,0
1441 University Ave,0,0,37.870467,-122.283681,0,1480,1.328,3.925,3,2
1442 Henry St,0,0,37.880356,-122.270889,0,1929,0.845,4.025,3,0
1444 Walnut St,0,0,37.880558,-122.268342,0,2611,0.758,4.125,1,3
1472 University Ave,0,0,37.870007,-122.282736,0,1472,1.28,3.95,5,2
1486 University Ave,0,0,37.870076,-122.282374,0,1243,1.26,3.975,1,2
149 Montecito ave,0,1,37.811903,-122.259582,0,1550,4.152,4.15,2,0
1494 Solano Avenue,0,1,37.890925,-122.288263,0,1895,2.04,4,1,0
1497 Hopkins St,0,0,37.881212,-122.283474,0,1824,1.455,4.1,1,0
15 Canyon Rd,0,0,37.870025,-122.249474,0,1761,0.565,4,1,2
1501 Stuart St,0,0,37.857225,-122.279541,0,1853,1.503,4.175,5,1
1503 Oxford St,0,0,37.880258,-122.266762,0,3050,0.689,4.05,3,0
1503 Oxford St.,0,2,37.880388,-122.267378,0,1425,0.716,4.025,2,0
1504 Carleton St,0,0,37.859617,-122.279877,0,3000,1.41,4.2,6,1
1505 Julia St,0,0,37.854456,-122.27888,0,1800,1.615,4.075,5,1
1507 Arch St,0,0,37.880429,-122.264446,0,2893,0.635,4.025,6,1
1507 Prince St,0,0,37.851798,-122.278367,0,1361,1.74,3.975,6,0
1508 Parker St,0,0,37.860265,-122.280008,0,1995,1.388,4.225,6,1
1509 Derby St,0,0,37.85904,-122.279664,0,1350,1.425,4.2,6,1
1509 Grant St,0,0,37.879024,-122.275768,0,2275,1.011,4.05,3,0
1509 Hearst Ave,0,0,37.872466,-122.281757,0,2074,1.219,4,4,1
1509 Kains Ave,0,0,37.876222,-122.293205,0,1929,1.866,4,3,0
1510 Bonita Ave,0,0,37.879056,-122.27302,0,1683,0.882,4.075,5,0
1510 Harmon St,0,0,37.848608,-122.277526,0,2550,1.898,4.025,5,0
1511 Stuart St,0,0,37.856939,-122.279428,0,1766,1.512,4.15,5,1
1512 Tyler St,0,0,37.852217,-122.278047,0,1040,1.707,3.975,6,0
1512 Walnut St,0,0,37.879796,-122.268463,0,2954,0.723,4.1,6,0
1513 Milvia St,0,0,37.879444,-122.271368,0,2030,0.824,4.125,5,0
1514 Oxford St,0,0,37.87963,-122.2673,0,2037,0.673,4.125,5,0
1514 Walnut St,0,0,37.879693,-122.268446,0,2645,0.717,4.1,6,0
1515 Harmon St,0,0,37.84916,-122.277463,0,1650,1.863,3.975,6,0
1515 Hearst Ave,0,0,37.872519,-122.281368,0,1675,1.198,3.925,4,3
1516 Henry St,0,0,37.87948,-122.27068,0,2324,0.796,4.1,6,0
