,Unnamed: 0,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs,edge_distance
164,164,1322 dwight way,0,3,37.861678,-122.285309,0,1400,1.585,4.05,7,1,1.9773774161
165,165,1322 Shattuck Ave,0,0,37.882957,-122.270046,0,2361,0.946,4.075,4,0,1.16736347422
166,166,1323 Henry St,0,0,37.882823,-122.270479,0,2500,0.953,4.075,5,1,1.18063304399
167,167,1323 Josephine St,0,0,37.882231,-122.275004,0,1393,1.099,4.075,5,0,1.43475832653
168,168,1324 Addison St,0,0,37.868786,-122.285019,0,1471,1.415,4.0,3,1,1.67635028135
169,169,1325 40th St,2,2,37.829751,-122.284184,1015,1747,3.219,3.95,4,0,4.85417822212
170,170,1325 40th St,1,1,37.829819,-122.283958,554,2395,3.209,4.0,4,0,4.84057459881
171,171,1325 Josephine St,0,0,37.88219,-122.27525,0,1393,1.108,4.1,7,1,1.44995078309
172,172,1325 Sacramento St,0,0,37.880849,-122.283023,0,2125,1.422,4.025,2,0,1.84351954942
173,173,1327 Ashby Ave,0,0,37.853249,-122.282673,0,1726,1.817,4.125,7,1,2.45104666964
174,174,1327 Milvia St,0,0,37.882565,-122.2716,0,1767,0.98,4.05,5,0,1.22756769954
175,175,1329 Henry St,0,0,37.882572,-122.270445,0,2235,0.939,4.05,5,0,1.15780696793
176,176,1329 Parker St,0,0,37.86031,-122.28382,0,1314,1.56,4.1,6,1,1.95591134618
177,177,1329 rose st,1,1,37.877134,-122.287807,600,1850,1.588,4.1,6,0,2.02143861992
178,178,1330 Alcatraz Ave,0,0,37.84737,-122.279847,0,1000,2.038,4.0,5,1,2.8910661325
179,179,1330 Sacramento St,0,0,37.880567,-122.283501,0,1610,1.438,4.1,3,3,1.85931568729
180,180,1332 Alcatraz Ave,0,0,37.8474,-122.279695,0,1750,2.031,4.0,5,1,2.88249269037
181,181,1332 Shattuck Ave,1,2,37.883182,-122.270046,900,1600,0.958,4.05,4,0,1.18679983335
182,182,1333 Powell Street,1,1,37.839335,-122.288969,765,3257,2.777,3.9,4,1,4.05293344281
183,183,1333 Powell Street,1,1,37.839352,-122.288958,734,2910,2.775,3.9,4,1,4.05081218244
184,184,1333 Powell Street,1,1,37.83936,-122.288947,734,2875,2.775,3.9,4,1,4.04956090116
